VIDEO E-LEARNING GIAO TIẾP TRẢI NGHIỆM,,,VIDEO E-LEARNING GIAO TIẾP THỰC CHIẾN,
Link danh sách phát toàn bộ video,https://youtube.com/playlist?list=PLJ2Xq7hBVaYPDV9OpOl4zVGnhbedLqric&si=Vp7w7YEpCYyH0Yqu,,Link danh sách phát toàn bộ video,https://youtube.com/playlist?list=PLJ2Xq7hBVaYNZiaBxiPicX1E3QMRoltf_&si=fx4VnPwhrwbRuyEz
STT,LINK VIDEO,,STT,LINK VIDEO
DAY 2,https://youtu.be/GJhMRKTWA6s,,DAY 1,https://youtu.be/JhcjMk7X88E
DAY 3,https://youtu.be/cC1feBI2buE,,DAY 2,https://youtu.be/T9LhGzt4Pxc
DAY 4,https://youtu.be/nClV-VOR9Bk,,DAY 3,https://youtu.be/Szdup2Ivajg
DAY 5,https://youtu.be/oM5t_Rr0-UY,,DAY 5,https://youtu.be/MiOs1ZQJ6Kk
DAY 6,https://youtu.be/i5r_KuRtCB8,,DAY 6,https://youtu.be/Jik_vQBJtZY
DAY 7,https://youtu.be/3gXZ4DIluPs,,DAY 7,https://youtu.be/I1re410WBrg
DAY 8,https://youtu.be/bIGm0k6uWzE,,DAY 9,https://youtu.be/qRd4-6bYknQ
DAY 10,https://youtu.be/OAExMgbfGL0,,DAY 10,https://youtu.be/sQSq2nCBzJI
DAY 11,https://youtu.be/b5D-UYut6FU,,DAY 11,https://youtu.be/BDAseYkxX14
DAY 12,https://youtu.be/eHWQu0A6JKo,,DAY 13,https://youtu.be/IAVyzbLvfCI
DAY 13,https://youtu.be/K2oXkC1Lw3w,,DAY 14,https://youtu.be/aaSH5OGUa1U
DAY 14,https://youtu.be/nK_vpS0qYlY,,DAY 16,https://youtu.be/MDFc1Cul97c
DAY 16,https://youtu.be/BdAhSJPJJVc,,DAY 17,https://youtu.be/fvny3voOJLk
DAY 17,https://youtu.be/ZAm9gfeMaKU,,DAY 19,https://youtu.be/nwtoEG6VF28
DAY 18,https://youtu.be/AonV3eFEgUw,,DAY 20,https://youtu.be/DRAB2RTTth4
DAY 19,https://youtu.be/01LD_dK7cs0,,DAY 22,https://youtu.be/u_6CUTX906I
DAY 20,https://youtu.be/01LD_dK7cs0,,DAY 23,https://youtu.be/M7mx7El2eH4
"DAY 22, 23",https://youtu.be/QCv-UbAmcsY,,DAY 24,https://youtu.be/ronJ29gxHQg
DAY 24,https://youtu.be/DHJ0VxhjEVc,,DAY 26,https://youtu.be/Le14Wg5L7pA
DAY 25,https://youtu.be/G0_WbiLu1EY,,DAY 27,https://youtu.be/og1edX9ELl4
DAY 26,https://youtu.be/YOZcErqtzPg,,DAY 28,https://youtu.be/sRu4V6kPAh8
DAY 27,https://youtu.be/lcW6ECzGthQ,,DAY 30,https://youtu.be/BtT16a5abyc
DAY 28,https://youtu.be/WjziFHhWPEM,,DAY 31,https://youtu.be/wI_dLuov9WQ
DAY 29,https://youtu.be/lwaMbiS-DL4,,DAY 32,https://youtu.be/21pODUnF5Rw
,,,DAY 34,https://youtu.be/0uZw1SMlQmY
,,,DAY 35,https://youtu.be/OjWHxiYctkQ
,,,DAY36,https://youtu.be/0xKiZ2avqc0
,,,DAY 38,https://youtu.be/lsDoU_tP3Kw
,,,DAY 39,https://youtu.be/ywh6mlMkRPQ
,,,DAY 40,https://youtu.be/F8jr6SypEeg
